week,lakes,gr,po,tqg,dm1,dm2,dm3,dm4,seas1,seas2,seas3,seas4,seas5,seas6,seas7,seas8,seas9,seas10,seas11,seas12
1,0,0.4,1,13632,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0,0.4,1,20035,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,0,0.4,1,16319,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,0,0.4,1,12603,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,0,0.4,1,23079,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,0,0.4,1,19652,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,0,0.4,1,16211,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,0,0.4,1,22914,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,0,0.4,1,23710,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0.35,1,23036,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,0,0.35,1,38414,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,0,0.35,1,46906,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,0,0.35,1,58608,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,0,0.35,1,51225,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,1,0.35,1,37339,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,1,0.3,1,20298,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,1,0.3,1,13699,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,1,0.3,1,11944,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,1,0.3,1,10658,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,1,0.3,1,9756,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,1,0.3,1,9546,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,1,0.3,1,16713,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,1,0.3,1,16389,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,1,0.3,1,23179,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,1,0.3,1,34999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,1,0.3,1,35267,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,1,0.3,1,20402,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,1,0.3,1,21020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,1,0.3,1,16612,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,1,0.3,1,14834,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,1,0.3,1,11149,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,1,0.3,1,16035,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,1,0.3,1,18555,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,1,0.3,1,17413,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,1,0.3,1,19412,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,1,0.3,1,20240,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,1,0.3,1,11824,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,1,0.3,1,17793,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,1,0.3,1,20157,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,1,0.3,1,18623,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,1,0.3,1,19062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,1,0.3,1,20840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,1,0.3,1,18972,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,1,0.3,1,19690,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,1,0.3,1,20206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,1,0.3,1,23081,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,1,0.3,1,21209,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,1,0.35,1,13753,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,0,0.35,1,14956,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0.35,1,13295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0.35,1,16935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0.35,1,24499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0.35,1,20078,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,0,0.35,1,24144,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,0,0.35,1,26157,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,0,0.35,1,22055,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,0,0.35,1,21973,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,0,0.35,1,23794,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,0,0.35,1,23116,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,0,0.35,1,23578,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,0,0.35,1,21568,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,0,0.35,0,17494,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63,0,0.35,0,16260,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
